,Splited_Hashtags,Count
2215,#cartanng,8
1601,#octoberwish,8
3022,#62ndindependenceday,8
260,#independeceday,8
3019,#fashion,8
2180,#weekendvibes,8
3558,#happybirthdaynigeria,8
1051,#kadunarally,8
817,#phynatheelephant𓃰,8
2207,#recruitment,8
269,#premierleague,8
754,#biafra,8
572,#4millionmarch,8
2499,#mariachike,8
665,#2023election,8
3329,#groovymono𓃵,7
720,#hopeagain2023,7
777,#gamers,7
776,#ps,7
3138,#loan,7
9121,#sundayservice,7
837,#onelove,7
3498,#independencedaynigeria2022,7
140,#hnm,7
2590,#secured,7
1374,#foodie,7
4740,#rufai,7
1414,#history,7
2544,#nfts,7
2188,#climateaction,7
2186,#sustainability,7
178,#wemove,7
1548,#consulting,7
2588,#reposition,7
2589,#ffi_ng,7
1612,#apcfailednigeria,7
1341,#strongertogether,7
3949,#getayourpvcready,7
1739,#creativity,7
1740,#goodgovernance,7
142,#1960,7
103,#nigeriaat,7
2660,#proudnigerian,7
1996,#ecommerce,7
6240,#innovation,7
1912,#greatpeople,7
1911,#great,7
200,#nigeriawillbegreatagain,7
2274,#royalflashback,7
3738,#lifestyle,7
36,#asuustrikemustend,7
5813,#freebigjoe,7
1132,#jamesonconnectsng,7
21,#octoberfest,7
2328,#ghana,7
2491,#uae,7
4829,#foti2022,7
1028,#akwaibomrally,7
2344,#sheggzfc𓃵,7
939,#phyna𓃰,7
2447,#delivery,7
1301,#prayfornigeria,7
5054,#kimsoohyun,7
2507,#free,7
1958,#believe,6
2442,#tableshaker,6
2359,#nft,6
6697,#debatenaglobo,6
421,#youth,6
4403,#african,6
429,#photoshop,6
4061,#octoberfirst,6
2628,#finance,6
4356,#62independenceday,6
2284,#emmanuelumoh,6
2123,#graphics,6
9120,#tscabuja,6
9119,#tsconline,6
468,#tgif,6
4226,#tourism,6
1878,#sdgs,6
471,#osogbo,6
2701,#graphicsdesign,6
876,#inktober2022,6
1874,#greatnigeria,6
1151,#partywithbella,6
779,#rmk2023,6
781,#busd,6
1288,#bellaokagbue𓃵,6
1287,#phtwittercommunity,6
810,#national,6
2957,#marketing,6
1168,#edorally,6
6916,#birthday,6
1381,#independentday,6
1126,#kunleafolayan,6
1121,#solar,6
3656,#holiday,6
1015,#jesus,6
3082,#bbnaijaseason7,6
901,#liberty,6
882,#engineering,6
1365,#chelsea,6
760,#1,6
2712,#world,6
1708,#usa,6
2717,#62ndanniversary,6
623,#realtors,6
1845,#nigeriaindependence2022,6
1797,#proudlynaija,6
3875,#greenoctoberevent2022,6
2761,#investments,6
872,#oilandgasindustry,6
1672,#62years,6
732,#white,6
1629,#abetternigeria,6
4627,#lord,6
1584,#akwaibomtwitter,6
698,#rccg,6
3210,#kaduna4obidatti,6
1528,#lawfirm,6
2890,#country,6
1356,#imocelebratesnigeria,6
1707,#uk,6
213,#freemazinnamdikanu,6
340,#1stoctober2022,6
129,#independent_day_of_nigeria,6
349,#goodpeople,6
265,#google,6
167,#future,6
262,#westafrica,6
98,#fypシ,6
5596,#democracyday,5
3005,#wespeakyourgame,5
494,#pistisfdn,5
3400,#nationbuilding,5
495,#pistisfoundation,5
5130,#ethiopia,5
497,#children,5
295,#endbadgovernance,5
52,#phyna𓃵,5
3587,#solarenergy,5
1085,#housing,5
551,#phynaourwinner,5
1559,#canada,5
1103,#construction,5
256,#trend,5
2434,#izzyfamily,5
3125,#homemaintenancetip,5
2529,#british,5
110,#1stoct,5
292,#russia,5
1075,#bbnajias7,5
1073,#rocabat,5
474,#heritage,5
3126,#homerepairinlagos,5
1675,#community,5
1320,#asabarally,5
938,#nollywood,5
1938,#possible,5
4564,#luxury,5
2282,#positiveaffirmationnigeria,5
6956,#britain,5
738,#uiuxdesigner,5
889,#lbank,5
2802,#po,5
3028,#palau,5
2959,#entrepreneur,5
6148,#nigeria62ndindependence,5
4920,#indpendenceday,5
1728,#atikuiscoming,5
1731,#happyindependeceday,5
1572,#development,5
3103,#anewnigeriaispossible,5
2325,#prayer,5
515,#independencenigeria,5
331,#peterobi2023,5
2086,#dubai,5
1581,#cleaningservice,5
302,#ilorin,5
2199,#cyprus,5
3127,#officerepairinlagos,5
3277,#igbo,5
1640,#welcometooctober,5
1231,#people,5
2351,#gombeat26,5
119,#inec,5
5421,#october2remember,5
1391,#climatechange,5
416,#arewa,5
585,#china,5
1973,#cryche,5
470,#nigeriasindependence,5
5420,#wagbemiga,5
2247,#groovymonothebrand,5
708,#women,5
1173,#charity,5
682,#realestateinvestment,5
3458,#hotel,5
1020,#agribusiness,5
1409,#travelagency,5
1979,#yusful,5
826,#instagood,5
4580,#heroes,5
2718,#62together,5
401,#endnigerianowtosavelives,5
1410,#exploremore,5
425,#yoruba,5
4120,#laundry,5
4585,#staysafe,5
5571,#1october,5
1809,#independentartist,5
847,#nija,5
851,#shella𓃵,5
2378,#independanceday,5
2606,#prosperity,5
393,#fraysexual,5
