Date,ID,Url,Username,Source_Location,Location,Tweets,Number_of_Likes,Number_of_Followers,Number_of_Retweets
2022-10-02 02:34:48+00:00,1.5764E+18,https://twitter.com/ekohenoch9/status/1576400275941650432,ekohenoch9,Twitter for Android,,Nigeria at 62: Happy Independence day! https://t.co/w0v5ufS6Hp (From Phoenix APP),0,0,0
2022-10-02 02:34:42+00:00,1.5764E+18,https://twitter.com/PrinceSkadek/status/1576400249031098368,PrinceSkadek,Instagram,"Manhattan, NY","Congratulations &amp; Happy 62nd Independence our beloved NIGERIA! #theAZKs @ New York, New York https://t.co/Yzc8EwlGkK",0,41,0
2022-10-02 02:33:08+00:00,1.5764E+18,https://twitter.com/black_votary/status/1576399857543450624,black_votary,Twitter for iPhone,"Lagos, Nigeria","Dear fellow compatriots,

💌

Happy independence Nigeria 🇳🇬 https://t.co/8bIYKmTr4e",6,1660,4
2022-10-02 02:30:36+00:00,1.5764E+18,https://twitter.com/rolakpos/status/1576399220788973568,rolakpos,Twitter Web App,Lagos NG,"@BinanceAfrica Independence means to me living a life in my country which is free if corruption, 
crimes,war,terrorism,external influenced,anti-nationalism (those leaving no stone unturned to bring down my Home, my pride, my Nigeria to the level of their mind)
@Rolakpos33 @SophieEB @efeezi101",2,54,1
2022-10-02 02:26:49+00:00,1.5764E+18,https://twitter.com/CulturedTable/status/1576398267625021441,CulturedTable,Twitter for iPhone,,"Happy Independence Day Nigeria!
Happy Independence Day to my Nigerian KINGS👑 &amp; QUEENS👑! 🇳🇬
#NigeriaIndependence #Nigeria",0,0,0
2022-10-02 02:26:26+00:00,1.5764E+18,https://twitter.com/THISDAYLIVE/status/1576398171533676545,THISDAYLIVE,Hootsuite Inc.,Nigeria,"The Long Walk to a United Nigeria ‘Nigeria go survive’, so sang Nigerian artist Veno in the 80s. Now celebrating her 62nd Independence, Nigerians have survived and are still surviv https://t.co/m2YyM1WNWP https://t.co/4ILfLFje2S",3,1586906,0
2022-10-02 02:25:34+00:00,1.5764E+18,https://twitter.com/dexterinc2003/status/1576397950338871296,dexterinc2003,Twitter for Android,"Sydney, New South Wales",@firstladyship Nigeria's true independence day is?,7,634,1
2022-10-02 02:24:39+00:00,1.5764E+18,https://twitter.com/BadboyLass/status/1576397721225023488,BadboyLass,Twitter for iPhone,Somewhere on planet earth 🌎,"Nigerians outside Nigeria are the only ones that celebrated Independence Day. Simple “Happy” no come out from my mout,  talkless of “Independence Day”",2,915,0
2022-10-02 02:22:55+00:00,1.5764E+18,https://twitter.com/freewitme/status/1576397283654000644,freewitme,Instagram,"benin-city, nigeria","Happy Independence Day....
9ja ninja. Davido.... @ Edjeba, Warri. Delta State.Nigeria. https://t.co/v3ZCGCUzUA",0,38,0
2022-10-02 02:20:58+00:00,1.5764E+18,https://twitter.com/FartAlbino/status/1576396793591435268,FartAlbino,Twitter for Android,,"In this revolutionary era of 2022 in the history of Nigeria from her colonisation up to her Independence, we are that grass, that honest man who gets his pay. 

On the lips of the same Nigerians, you will hear in bittersweet memory of how the times before were sweet.",0,10,0
2022-10-02 02:20:54+00:00,1.5764E+18,https://twitter.com/Nasiralifaizan/status/1576396778550988801,Nasiralifaizan,Twitter for Android,,Happy independence day Nigeria.,0,0,0
2022-10-02 02:19:35+00:00,1.5764E+18,https://twitter.com/Authenticvoice6/status/1576396446815105025,Authenticvoice6,Twitter for iPhone,,"#WATCH!!!!! Nigeria's  62nd Independence Anniversary Parade…
- - - - - - - - - - - 

#nigeriaindependence

#nigeriaindependenceday

Authentic voice https://t.co/K7coaion21",0,570,0
2022-10-02 02:19:15+00:00,1.5764E+18,https://twitter.com/TempleKay4/status/1576396361293258753,TempleKay4,Twitter for Android,"Dubai, United Arab Emirates","It's Not by might or by power to change Nigeria. 

BUT BY OBIDiENt 🦅🧨

Happy independence day🇳🇬♥️🙏 https://t.co/W8XHS1jShy",0,27,0
2022-10-02 02:19:03+00:00,1.5764E+18,https://twitter.com/NewlyPosted/status/1576396313729544193,NewlyPosted,WordPress.com,,"Rita Dominic, May Edochie, Yewande Adekoya, Other Celebs In Stunning Outfits For Nigeria’s Independence Day https://t.co/zhKMiSZViG",0,64,0
2022-10-02 02:18:54+00:00,1.5764E+18,https://twitter.com/Only1Worldwide/status/1576396275398111232,Only1Worldwide,Twitter for Android,,You are A Seed &amp; withing are millions of more seed! Fulfill your God given purpose EMPOWERMENT &amp; LOVE BE WITH YOU ALL &amp; I end this by saying GOD DID! 🇳🇬 #NigeriaAt62 #NigeriaIndependence #NigeriaIndependenceDay #unityandlove 🌍,1,22,0
2022-10-02 02:18:51+00:00,1.5764E+18,https://twitter.com/Only1Worldwide/status/1576396263213629440,Only1Worldwide,Twitter for Android,,Wheres the love? PORT HARCOURT NIGERIA wheres the love ???? In Warri then everywhere was GREEN WHITE GREEN. I called my mom in Delta she don't even remember yesterday was independence 🥺 everything was normal! Yall gave up??? Wheres the love???,1,22,0
2022-10-02 02:18:46+00:00,1.5764E+18,https://twitter.com/theidealngr/status/1576396241650565125,theidealngr,WordPress.com,,Independence: Soludo urges collective action to make Nigeria best black nation https://t.co/CIBQU0ZdMR,0,4,0
2022-10-02 02:15:53+00:00,1.5764E+18,https://twitter.com/nwabueze101/status/1576395513490214913,nwabueze101,Twitter for Android,Nigeria,"@KuCoinAfrica Happy independence day Nigeria. 
As the most populous black nation in the world,a giant of Africa and one of the leading crypto trading countries,but today we celebrate our independence and how far we gone.

@Seyiman @Alex51682112 @Said_A79 @GelatoBae @Dhaneil_ 

 #KuCoin ❤️9ja",0,403,0
2022-10-02 02:15:42+00:00,1.5764E+18,https://twitter.com/MissOrig1nal/status/1576395471156703232,MissOrig1nal,Twitter for iPhone,"Virginia, USA",I sent a “happy independence day” message to the cousins group chat and no one responded 😂 kai Nigeria stop disgracing us https://t.co/ovs1H1TdNO,0,775,0
2022-10-02 02:15:35+00:00,1.5764E+18,https://twitter.com/TheJessieWoo/status/1576395441226194946,TheJessieWoo,Twitter for iPhone,PLUTO,Happy Independence Day Nigeria 🇳🇬❤️💕,130,72588,18
2022-10-02 02:15:13+00:00,1.5764E+18,https://twitter.com/Authenticvoice6/status/1576395346447515650,Authenticvoice6,Twitter for iPhone,,"#PHOTOS!!!!!  Nigeria's  62nd Independence Anniversary….
- - - - - - - - - - - 

#nigeriaindependence

#nigeriaindependenceday

Authentic voice https://t.co/74QEat4AbC",0,570,0
2022-10-02 02:15:10+00:00,1.5764E+18,https://twitter.com/MatrixSolicitor/status/1576395336221741056,MatrixSolicitor,Twitter for iPhone,Nigeria,Happy Independence Day Nigeria! https://t.co/TRrL9634Lg,0,290,0
2022-10-02 02:15:09+00:00,1.5764E+18,https://twitter.com/Authenticvoice6/status/1576395332740534272,Authenticvoice6,Twitter for iPhone,,"#PHOTOS!!!!!  Nigeria's  62nd Independence Anniversary….
- - - - - - - - - - - 

#nigeriaindependence

#nigeriaindependenceday

Authentic voice https://t.co/kmpdf5pSRu",0,570,0
2022-10-02 02:13:45+00:00,1.57639E+18,https://twitter.com/Xelousness/status/1576394980062437376,Xelousness,Twitter for iPhone,,💚🤍💚 Blessed Independence Day to Nigeria 🇳🇬,0,52,0
2022-10-02 02:13:26+00:00,1.57639E+18,https://twitter.com/NAT_ACCORD/status/1576394898529558528,NAT_ACCORD,WordPress.com,,We organised “Obidatti” rally in London to mark Nigeria’s independence – Group https://t.co/XchiG0cMXg,0,649,0
2022-10-02 02:11:45+00:00,1.57639E+18,https://twitter.com/eldico_tech/status/1576394475043110912,eldico_tech,Twitter for iPhone,"Lagos, Nigeria","Anambra State government Government also Celebrated Nigeria independence day. 

https://t.co/5YyroycKfQ https://t.co/UDrsVnELIC",1,1538,1
2022-10-02 02:10:24+00:00,1.57639E+18,https://twitter.com/Freeman2gud/status/1576394133421412352,Freeman2gud,Twitter for Android,Corn City aka Agbado Empire,"@DrjokeOfficial @mamannajwa I have never cursed Nigeria though.

Nigeria hasn't done anything bad to me so far. Life happens to everyone.

God bless Nigeria.

Happy Independence day",10,1573,2
2022-10-02 02:09:12+00:00,1.57639E+18,https://twitter.com/Only1Worldwide/status/1576393832333074432,Only1Worldwide,Twitter for Android,,Yesterday October 1st was my Dearly beloved country Nigeria Independence day! I felt bad I remember years back everywhere used to be Green white Green Common what's happening???? Wheres the love? Yall gon give up Nigeria??? 🥺🥺🥺😭😭😭😭😭 I was born in Nigeria my passport 🇳🇬 🌍 https://t.co/luHCkJpp34,1,22,0
2022-10-02 02:09:09+00:00,1.57639E+18,https://twitter.com/OlamiYussuff2/status/1576393819083325440,OlamiYussuff2,Twitter for Android,,"Do you know?

These are students of the Nigerian Military School, Zaria, popularly known as ""NMS Boys""  at the Nigeria’s 62nd Independence Anniversary celebrations held yesterday, at the Eagle Square, Abuja🕊️⚪🇳🇬
@HQNigerianArmy @DefenceInfoNG https://t.co/K7b7OcxH6C",2,122,0
2022-10-02 02:08:18+00:00,1.57639E+18,https://twitter.com/gbabeskionline/status/1576393606276988928,gbabeskionline,WordPress.com,United Kingdom,"Buhari, Osinbajo, Jonathan, Lawan, Gbajabiamila, Others Attend Nigeria’s 62nd Independence Day Celebration In Abuja (Photos) https://t.co/sSWXiKLKu3",0,25,0
2022-10-02 02:07:21+00:00,1.57639E+18,https://twitter.com/dean_j2m/status/1576393365716799488,dean_j2m,Twitter for Android,,Happy Independence Day Nigeria 🇳🇬,0,12,0
2022-10-02 02:05:58+00:00,1.57639E+18,https://twitter.com/NigerianKorean/status/1576393019770646530,NigerianKorean,Twitter for iPhone,,"We celebrate with Nigeria on this special day.
Happy Independence Day Nigeria
#nigeria #independenceday https://t.co/v2IOrdz2yv",1,66,0
2022-10-02 02:05:05+00:00,1.57639E+18,https://twitter.com/sankoh_yaya/status/1576392798752092160,sankoh_yaya,Twitter for iPhone,,@_farati_ Happy Independence Day to the queen of Nigeria herself !🧎🏾‍♀️☺️,0,99,0
2022-10-02 02:03:53+00:00,1.57639E+18,https://twitter.com/2709updates/status/1576392493725356032,2709updates,WordPress.com,"Lagos, Nigeria",See how Nigerian Celebrities celebrated Nigeria’s independence today https://t.co/uzFrcLUCgS,0,374,0
2022-10-02 02:01:53+00:00,1.57639E+18,https://twitter.com/TriumphDominion/status/1576391991050452992,TriumphDominion,Twitter for iPhone,"Lagos, Nigeria","Happy Independence Nigeria &amp; Nigerians. I declare may the blessings and protection of God be upon Nigeria and her people. May Nigeria not collapse. I declare Nigeria begin to rise &amp; shine  again, may your glory be restored, and recovered in Jesus name. Happy 62nd Independence.",0,0,0
2022-10-02 02:00:36+00:00,1.57639E+18,https://twitter.com/Dapo_Dmart/status/1576391670265892865,Dapo_Dmart,Twitter for iPhone,Far and Near,Happy Independence Nigeria 🇳🇬🇳🇬🇳🇬,0,757,0
